dt;type_prod;categorie;type_denom;type_ig;id_app;app;id_denom;denom;insee;nomcom;insee2011;nomcom2011;id_aire;crinao;grp_name1;grp_name2
"Corse";"Vins";"Vin tranquille";"appellation";"AOC";291;"Ajaccio";1376;"Ajaccio";"2A351";"1B575S, 1R575S, 1S575S";"VILLANOVA";"2A351";"VILLANOVA";1129;"Provence Corse";"Corse"
"Corse";"Vins";"Vin tranquille";"appellation";"AOC";291;"Ajaccio";1376;"Ajaccio";"2A091";"1B575S, 1R575S, 1S575S";"COGNOCOLI-MONTICCHI";"2A091";"COGNOCOLI-MONTICCHI";1129;"Provence Corse";"Corse"
"Corse";"Vins";"Vin tranquille";"appellation";"AOC";291;"Ajaccio";1376;"Ajaccio";"2A048";"1B575S, 1R575S, 1S575S";"CALCATOGGIO";"2A048";"CALCATOGGIO";1129;"Provence Corse";"Corse"
"Corse";"Vins";"Vin tranquille";"appellation";"AOC";291;"Ajaccio";1376;"Ajaccio";"2A001";"1B575S, 1R575S, 1S575S";"AFA";"2A001";"AFA";1129;"Provence Corse";"Corse"
"Corse";"Vins";"Vin tranquille";"appellation";"AOC";291;"Ajaccio";1376;"Ajaccio";"2A348";"1B575S, 1R575S, 1S575S";"VICO";"2A348";"VICO";1129;"Provence Corse";"Corse"
"Corse";"Vins";"Vin tranquille";"appellation";"AOC";291;"Ajaccio";1376;"Ajaccio";"2A071";"1B575S, 1R575S, 1S575S";"CASALABRIVA";"2A071";"CASALABRIVA";1129;"Provence Corse";"Corse"
"Corse";"Vins";"Vin tranquille";"appellation";"AOC";291;"Ajaccio";1376;"Ajaccio";"2A212";"1B575S, 1R575S, 1S575S";"PIANA";"2A212";"PIANA";1129;"Provence Corse";"Corse"
"Corse";"Vins";"Vin tranquille";"appellation";"AOC";291;"Ajaccio";1376;"Ajaccio";"2A103";"1B575S, 1R575S, 1S575S";"CUTTOLI-CORTICCHIATO";"2A103";"CUTTOLI-CORTICCHIATO";1129;"Provence Corse";"Corse"
"Corse";"Vins";"Vin tranquille";"appellation";"AOC";291;"Ajaccio";1376;"Ajaccio";"2A060";"1B575S, 1R575S, 1S575S";"CANNELLE";"2A060";"CANNELLE";1129;"Provence Corse";"Corse"
"Corse";"Vins";"Vin tranquille";"appellation";"AOC";291;"Ajaccio";1376;"Ajaccio";"2A104";"1B575S, 1R575S, 1S575S";"ECCICA-SUARELLA";"2A104";"ECCICA-SUARELLA";1129;"Provence Corse";"Corse"
"Corse";"Vins";"Vin tranquille";"appellation";"AOC";291;"Ajaccio";1376;"Ajaccio";"2A090";"1B575S, 1R575S, 1S575S";"COGGIA";"2A090";"COGGIA";1129;"Provence Corse";"Corse"
"Corse";"Vins";"Vin tranquille";"appellation";"AOC";291;"Ajaccio";1376;"Ajaccio";"2A032";"1B575S, 1R575S, 1S575S";"BASTELICACCIA";"2A032";"BASTELICACCIA";1129;"Provence Corse";"Corse"
"Corse";"Vins";"Vin tranquille";"appellation";"AOC";291;"Ajaccio";1376;"Ajaccio";"2A022";"1B575S, 1R575S, 1S575S";"ARRO";"2A022";"ARRO";1129;"Provence Corse";"Corse"
"Corse";"Vins";"Vin tranquille";"appellation";"AOC";291;"Ajaccio";1376;"Ajaccio";"2A130";"1B575S, 1R575S, 1S575S";"GROSSETO-PRUGNA";"2A130";"GROSSETO-PRUGNA";1129;"Provence Corse";"Corse"
"Corse";"Vins";"Vin tranquille";"appellation";"AOC";291;"Ajaccio";1376;"Ajaccio";"2A006";"1B575S, 1R575S, 1S575S";"ALATA";"2A006";"ALATA";1129;"Provence Corse";"Corse"
"Corse";"Vins";"Vin tranquille";"appellation";"AOC";291;"Ajaccio";1376;"Ajaccio";"2A019";"1B575S, 1R575S, 1S575S";"ARBORI";"2A019";"ARBORI";1129;"Provence Corse";"Corse"
"Corse";"Vins";"Vin tranquille";"appellation";"AOC";291;"Ajaccio";1376;"Ajaccio";"2A336";"1B575S, 1R575S, 1S575S";"VALLE-DI-MEZZANA";"2A336";"VALLE-DI-MEZZANA";1129;"Provence Corse";"Corse"
"Corse";"Vins";"Vin tranquille";"appellation";"AOC";291;"Ajaccio";1376;"Ajaccio";"2A232";"1B575S, 1R575S, 1S575S";"PILA-CANALE";"2A232";"PILA-CANALE";1129;"Provence Corse";"Corse"
"Corse";"Vins";"Vin tranquille";"appellation";"AOC";291;"Ajaccio";1376;"Ajaccio";"2A017";"1B575S, 1R575S, 1S575S";"APPIETTO";"2A017";"APPIETTO";1129;"Provence Corse";"Corse"
"Corse";"Vins";"Vin tranquille";"appellation";"AOC";291;"Ajaccio";1376;"Ajaccio";"2A209";"1B575S, 1R575S, 1S575S";"PERI";"2A209";"PERI";1129;"Provence Corse";"Corse"
"Corse";"Vins";"Vin tranquille";"appellation";"AOC";291;"Ajaccio";1376;"Ajaccio";"2A098";"1B575S, 1R575S, 1S575S";"COTI-CHIAVARI";"2A098";"COTI-CHIAVARI";1129;"Provence Corse";"Corse"
"Corse";"Vins";"Vin tranquille";"appellation";"AOC";291;"Ajaccio";1376;"Ajaccio";"2A276";"1B575S, 1R575S, 1S575S";"SERRA-DI-FERRO";"2A276";"SERRA-DI-FERRO";1129;"Provence Corse";"Corse"
"Corse";"Vins";"Vin tranquille";"appellation";"AOC";291;"Ajaccio";1376;"Ajaccio";"2A004";"1B575S, 1R575S, 1S575S";"AJACCIO";"2A004";"AJACCIO";1129;"Provence Corse";"Corse"
"Corse";"Vins";"Vin tranquille";"appellation";"AOC";291;"Ajaccio";1376;"Ajaccio";"2A271";"1B575S, 1R575S, 1S575S";"SARROLA-CARCOPINO";"2A271";"SARROLA-CARCOPINO";1129;"Provence Corse";"Corse"
"Corse";"Vins";"Vin tranquille";"appellation";"AOC";291;"Ajaccio";1376;"Ajaccio";"2A228";"1B575S, 1R575S, 1S575S";"PIETROSELLA";"2A228";"PIETROSELLA";1129;"Provence Corse";"Corse"
"Corse";"Vins";"Vin tranquille";"appellation";"AOC";291;"Ajaccio";1376;"Ajaccio";"2A070";"1B575S, 1R575S, 1S575S";"CASAGLIONE";"2A070";"CASAGLIONE";1129;"Provence Corse";"Corse"
"Corse";"Vins";"Vin tranquille";"appellation";"AOC";291;"Ajaccio";1376;"Ajaccio";"2A181";"1B575S, 1R575S, 1S575S";"OCANA";"2A181";"OCANA";1129;"Provence Corse";"Corse"
"Corse";"Vins";"Vin tranquille";"appellation";"AOC";291;"Ajaccio";1376;"Ajaccio";"2A270";"1B575S, 1R575S, 1S575S";"SARI-D'ORCINO";"2A270";"SARI-D'ORCINO";1129;"Provence Corse";"Corse"
"Corse";"Vins";"Vin tranquille";"appellation";"AOC";291;"Ajaccio";1376;"Ajaccio";"2A008";"1B575S, 1R575S, 1S575S";"ALBITRECCIA";"2A008";"ALBITRECCIA";1129;"Provence Corse";"Corse"
"Corse";"Vins";"Vin tranquille";"appellation";"AOC";291;"Ajaccio";1376;"Ajaccio";"2A014";"1B575S, 1R575S, 1S575S";"AMBIEGNA";"2A014";"AMBIEGNA";1129;"Provence Corse";"Corse"
"Corse";"Vins";"Vin tranquille";"appellation";"AOC";291;"Ajaccio";1376;"Ajaccio";"2A065";"1B575S, 1R575S, 1S575S";"CARGESE";"2A065";"CARGESE";1129;"Provence Corse";"Corse"
"Corse";"Vins";"Vin tranquille";"appellation";"AOC";291;"Ajaccio";1376;"Ajaccio";"2A062";"1B575S, 1R575S, 1S575S";"CARBUCCIA";"2A062";"CARBUCCIA";1129;"Provence Corse";"Corse"
"Corse";"Vins";"Vin tranquille";"appellation";"AOC";291;"Ajaccio";1376;"Ajaccio";"2A345";"1B575S, 1R575S, 1S575S";"VERO";"2A345";"VERO";1129;"Provence Corse";"Corse"
"Corse";"Vins";"Vin tranquille";"appellation";"AOC";291;"Ajaccio";1376;"Ajaccio";"2A295";"1B575S, 1R575S, 1S575S";"SANT'ANDREA-D'ORCINO";"2A295";"SANT'ANDREA-D'ORCINO";1129;"Provence Corse";"Corse"
"Corse";"Vins";"Vin tranquille";"appellation";"AOC";291;"Ajaccio";1376;"Ajaccio";"2A085";"1B575S, 1R575S, 1S575S";"CAURO";"2A085";"CAURO";1129;"Provence Corse";"Corse"
"Corse";"Vins";"Vin tranquille";"appellation";"AOC";291;"Ajaccio";1376;"Ajaccio";"2A323";"1B575S, 1R575S, 1S575S";"TAVACO";"2A323";"TAVACO";1129;"Provence Corse";"Corse"
"Dijon";"Vins";"Vin tranquille";"appellation";"AOC";126;"Aloxe-Corton";242;"Aloxe-Corton";"21480";"1B241, 1R241";"PERNAND-VERGELESSES";"21480";"PERNAND-VERGELESSES";187;"Bourgogne, Beaujolais, Savoie, Jura";"Bourgogne et Beaujolais"
"Dijon";"Vins";"Vin tranquille";"appellation";"AOC";126;"Aloxe-Corton";242;"Aloxe-Corton";"21010";"1B241, 1R241";"ALOXE-CORTON";"21010";"ALOXE-CORTON";187;"Bourgogne, Beaujolais, Savoie, Jura";"Bourgogne et Beaujolais"
"Dijon";"Vins";"Vin tranquille";"appellation";"AOC";126;"Aloxe-Corton";242;"Aloxe-Corton";"21606";"1B241, 1R241";"LADOIX-SERRIGNY";"21606";"LADOIX-SERRIGNY";187;"Bourgogne, Beaujolais, Savoie, Jura";"Bourgogne et Beaujolais"
"Dijon";"Vins";"Vin tranquille";"dénomination géographique complémentaire";"AOC";126;"Aloxe-Corton";257;"Aloxe-Corton premier cru";"21480";"1B242, 1R242";"PERNAND-VERGELESSES";"21480";"PERNAND-VERGELESSES";202;"Bourgogne, Beaujolais, Savoie, Jura";"Bourgogne et Beaujolais"
"Dijon";"Vins";"Vin tranquille";"dénomination géographique complémentaire";"AOC";126;"Aloxe-Corton";257;"Aloxe-Corton premier cru";"21010";"1B242, 1R242";"ALOXE-CORTON";"21010";"ALOXE-CORTON";202;"Bourgogne, Beaujolais, Savoie, Jura";"Bourgogne et Beaujolais"
"Dijon";"Vins";"Vin tranquille";"dénomination géographique complémentaire";"AOC";126;"Aloxe-Corton";257;"Aloxe-Corton premier cru";"21606";"1B242, 1R242";"LADOIX-SERRIGNY";"21606";"LADOIX-SERRIGNY";202;"Bourgogne, Beaujolais, Savoie, Jura";"Bourgogne et Beaujolais"
"Dijon";"Vins";"Vin tranquille";"dénomination géographique complémentaire";"AOC";126;"Aloxe-Corton";243;"Aloxe-Corton premier cru Clos des Maréchaudes";"21010";"1B242 01, 1R242 01";"ALOXE-CORTON";"21010";"ALOXE-CORTON";188;"Bourgogne, Beaujolais, Savoie, Jura";"Bourgogne et Beaujolais"
"Dijon";"Vins";"Vin tranquille";"dénomination géographique complémentaire";"AOC";126;"Aloxe-Corton";243;"Aloxe-Corton premier cru Clos des Maréchaudes";"21606";"1B242 01, 1R242 01";"LADOIX-SERRIGNY";"21606";"LADOIX-SERRIGNY";188;"Bourgogne, Beaujolais, Savoie, Jura";"Bourgogne et Beaujolais"
"Dijon";"Vins";"Vin tranquille";"dénomination géographique complémentaire";"AOC";126;"Aloxe-Corton";244;"Aloxe-Corton premier cru Clos du Chapitre";"21010";"1B242 02, 1R242 02";"ALOXE-CORTON";"21010";"ALOXE-CORTON";189;"Bourgogne, Beaujolais, Savoie, Jura";"Bourgogne et Beaujolais"
